collocation,count,count_nested,length,lambda,z
the only,15,0,2,1.3453723974824747,4.769355229879316
it's all,2,0,2,3.1757168600195618,4.766688087257029
like a,8,0,2,1.713769310190652,4.766682323569958
with our,20,0,2,1.082134399607491,4.766407137580176
un will,2,0,2,3.3920101041412725,4.76500152616393
for 8,3,0,2,2.823750297333466,4.764734545705767
lot in,3,0,2,2.9116498500505887,4.764403542602067
rally in,3,0,2,2.9116498500505887,4.764403542602067
so that,10,0,2,1.5083886837673366,4.7632674858735795
it doesn’t,2,0,2,3.2523688472781567,4.761290344642453
it means,2,0,2,3.2523688472781567,4.761290344642453
support our,4,0,2,2.3595320396929247,4.761099366386562
power to,5,0,2,2.36487260174148,4.760823029593738
we save,2,0,2,3.4290416678116546,4.7596969261127535
let the,9,0,2,1.7512738663443117,4.75928241371465
taxes are,3,0,2,2.7319880742957157,4.758507900967478
was fantastic,2,0,2,3.236887853330369,4.758095846619812
was honored,2,0,2,3.236887853330369,4.758095846619812
war was,2,0,2,3.2250855321943437,4.75804537738608
republican house,2,0,2,3.0905327578419577,4.757276169742814
many companies,2,0,2,3.1193418104512496,4.757237601827406
of america's,3,0,2,3.254226478620155,4.756489457945489
will defeat,2,0,2,3.4773613162656427,4.755885329010074
will forever,2,0,2,3.4773613162656427,4.755885329010074
of mexico,5,0,2,2.254796188533963,4.754351283882944
never even,2,0,2,3.0874981253016616,4.754259232358155
people start,2,0,2,3.1444405847596526,4.754213259990302
RT @billoreilly,3,0,2,7.190833210341925,4.753724485293802
RT @jacobawohl,3,0,2,7.190833210341925,4.753724485293802
RT @jessebwatters,3,0,2,7.190833210341925,4.753724485293802
RT @rightlynews,3,0,2,7.190833210341925,4.753724485293802
RT @statedept,3,0,2,7.190833210341925,4.753724485293802
RT @thefive,3,0,2,7.190833210341925,4.753724485293802
thanks you,2,0,2,3.193723857113813,4.753635134598518
i agree,2,0,2,3.3831665808830773,4.752638438343938
show in,4,0,2,2.448944940123203,4.752054053289527
no crime,3,0,2,2.610402840780198,4.751626445000008
lost the,8,0,2,1.8742689662051903,4.750377401064586
has already,2,0,2,3.1493336004728283,4.749454539996536
by democrats,5,0,2,2.073785576446764,4.745650512418168
budget that,2,0,2,3.3168338079754696,4.745041896992932
the credit,5,0,2,3.015909522595481,4.743251459807276
the single,5,0,2,3.015909522595481,4.743251459807276
for 7,4,0,2,2.3989560044979066,4.741386966878104
love and,6,0,2,2.025798408212801,4.741065729210412
to heed,4,0,2,4.469684124849046,4.739746970629452
in germany,3,0,2,2.9282018172797186,4.739577565434694
sad to,4,0,2,2.7646698702043353,4.739407795746753
speech at,2,0,2,3.2238369706504235,4.73905518873057
are so,9,0,2,1.5825279249625654,4.737879740279942
our brave,3,0,2,2.7450219907421918,4.737765509110126
doing very,3,0,2,2.60136224947749,4.737483960797135
happy with,4,0,2,2.3435355921047543,4.737389438923813
just talk,2,0,2,3.126095645669281,4.737218038700799
their delivery,2,0,2,7.34298587429948,4.735927174954148
states must,2,0,2,3.076726296352435,4.735199012927998
are actually,2,0,2,3.411304648246044,4.735185267678387
